Energy (keV_ee),Sigma_x (pixels),Front Surface Probability,Bulk Probability,Back Surface Probability
1.72952,0.64475,0,1,0
0.810369,0.402934,0.00306197,0.996938,0
3.05655,0.313348,0.0557039,0.944296,0
3.85506,0.0939994,0.744053,0.255947,0
1.0563,0.432328,0.00163614,0.998364,0
1.21754,0.22959,0.204297,0.795703,0
0.18743,0.131579,0.624919,0.375081,0
0.128428,0.764389,0,0.234049,0.765951
0.587253,0.787135,0,0.692454,0.307546
0.348026,0.829031,0,0.198562,0.801438
4.99091,1.01252,0,0.033191,0.966809
2.23914,0.200812,0.229319,0.770681,0
1.0462,0.934741,0,0.202938,0.797062
0.652998,0.988302,0,0.123537,0.876463
0.12673,0.634026,0.000936185,0.373167,0.625897
0.898801,0.579372,0,1,0
4.3274,0.0975034,0.822023,0.177977,0
1.73933,0.0415817,0.97592,0.02408,0
1.75358,0.616553,0,1,0
5.76273,0.656527,0,1,0
2.04656,0.94881,0,0.193667,0.806333
5.27925,0.550414,0,1,0
4.31775,0.962475,0,0.230889,0.769111
0.163296,0.749409,0,0.296303,0.703697
5.14109,0.665795,0,1,0
4.22374,0.955482,0,0.232844,0.767156
3.07871,0.943748,0,0.295379,0.704621
0.67466,0.888001,0,0.270496,0.729504
5.84081,0.293094,0.055318,0.944682,0
4.17171,0.945747,0,0.474308,0.525692
1.27955,0.101242,0.74268,0.25732,0
